Factor	Tag	Preferred_NonPref	peakLocation	Final.HA.Annotation	Lambert2018.TF.NotTF	Notes	go_anno	orthologous_group
BRCA1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF237LPI/@@download/ENCFF237LPI.bed.gz	Other	No		transcription factor	COG2378
BRD4	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF119YIG/@@download/ENCFF119YIG.bed.gz	Other	No		"transcription factor,chromatin remodeller"	COG3170
BRD4		Non-preferred	https://www.encodeproject.org/files/ENCFF262TAP/@@download/ENCFF262TAP.bed.gz	Other	No		"transcription factor,chromatin remodeller"	COG3170
CAMTA1	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503105&format=file&file=GSM7503105%5FCAMTA1%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG5492
CAMTA2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF488RBR/@@download/ENCFF488RBR.bed.gz	TF	Yes		transcription factor	COG0286
CBFB	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF389HNP/@@download/ENCFF389HNP.bed.gz	Other	No		transcription factor	COG0572
CBX2		Preferred	https://www.encodeproject.org/files/ENCFF670RQW/@@download/ENCFF670RQW.bed.gz	Other	Yes*	Chromatin remodeller	"transcription factor,chromatin remodeller"	COG1403
CBX5	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF574QKP/@@download/ENCFF574QKP.bed.gz	Other			"transcription factor,chromatin remodeller"	COG4227
CCAR2		Preferred	https://www.encodeproject.org/files/ENCFF504CCV/@@download/ENCFF504CCV.bed.gz	Other			"RNA binding protein,transcription factor"	COG1196
CEBPA	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF713MLA/@@download/ENCFF713MLA.bed.gz	TF	Yes		transcription factor	COG3599
CEBPB		Preferred	https://www.encodeproject.org/files/ENCFF886PVT/@@download/ENCFF886PVT.bed.gz	TF	Yes		transcription factor	COG3206
CEBPB		Non-preferred	https://www.encodeproject.org/files/ENCFF717JGJ/@@download/ENCFF717JGJ.bed.gz	TF	Yes		transcription factor	COG3206
CEBPD	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF784EXR/@@download/ENCFF784EXR.bed.gz	TF	Yes		transcription factor	COG1196
CEBPG	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF642FIX/@@download/ENCFF642FIX.bed.gz	TF	Yes		transcription factor	COG1196
CEBPZ		Preferred	https://www.encodeproject.org/files/ENCFF589EAS/@@download/ENCFF589EAS.bed.gz	TF	Yes		"RNA binding protein,transcription factor"	COG1413
CENPBD1P	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503106&format=file&file=GSM7503106%5FCENPBD1%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	
CENPX	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503107&format=file&file=GSM7503107%5FCENPX%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	Other	Yes*	Does not bind DNA on its own.		COG5464
CERS6	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF188ULF/@@download/ENCFF188ULF.bed.gz	Other	No		transcription factor	COG1835
CHD2		Preferred	https://www.encodeproject.org/files/ENCFF369UGC/@@download/ENCFF369UGC.bed.gz	Other	No		"RNA binding protein,transcription factor"	COG0553
CHD4		Preferred	https://www.encodeproject.org/files/ENCFF927XNA/@@download/ENCFF927XNA.bed.gz	Other	No		"transcription factor,chromatin remodeller,RNA binding protein"	COG0553
CREB1	FLAG	Uncharacterized	https://www.encodeproject.org/files/ENCFF648PUH/@@download/ENCFF648PUH.bed.gz	TF	Yes		transcription factor	COG3266
CREB1		Preferred	https://www.encodeproject.org/files/ENCFF852AAQ/@@download/ENCFF852AAQ.bed.gz	TF	Yes		transcription factor	COG3266
CREB1		Uncharacterized	https://www.encodeproject.org/files/ENCFF564YGY/@@download/ENCFF564YGY.bed.gz	TF	Yes		transcription factor	COG3266
CREB3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF792EMG/@@download/ENCFF792EMG.bed.gz	TF	Yes		transcription factor	COG4372
CREM		Non-preferred	https://www.encodeproject.org/files/ENCFF092MMG/@@download/ENCFF092MMG.bed.gz	TF	Yes		transcription factor	COG2919
CREM	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF847YQG/@@download/ENCFF847YQG.bed.gz	TF	Yes		transcription factor	COG2919
YBX3	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503108&format=file&file=GSM7503108%5FCSDA%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes	AKA YBX3	"RNA binding protein,transcription factor"	
CTCF	FLAG	Uncharacterized	https://www.encodeproject.org/files/ENCFF648HFC/@@download/ENCFF648HFC.bed.gz	TF	Yes		"RNA binding protein,transcription factor"	COG1142
CTCF		Non-preferred	https://www.encodeproject.org/files/ENCFF611FHI/@@download/ENCFF611FHI.bed.gz	TF	Yes		"RNA binding protein,transcription factor"	COG1142
CTCF		Preferred	https://www.encodeproject.org/files/ENCFF123DAC/@@download/ENCFF123DAC.bed.gz	TF	Yes		"RNA binding protein,transcription factor"	COG1142
CTCF		Non-preferred	https://www.encodeproject.org/files/ENCFF695QSJ/@@download/ENCFF695QSJ.bed.gz	TF	Yes		"RNA binding protein,transcription factor"	COG1142
CTCF		Non-preferred	https://www.encodeproject.org/files/ENCFF704ECS/@@download/ENCFF704ECS.bed.gz	TF	Yes		"RNA binding protein,transcription factor"	COG1142
DBP	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF945MVC/@@download/ENCFF945MVC.bed.gz	TF	Yes		transcription factor	COG1196
DDIT3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF845NWV/@@download/ENCFF845NWV.bed.gz	TF	Yes		transcription factor	COG2433
DLX6	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF460TXX/@@download/ENCFF460TXX.bed.gz	TF	Yes		transcription factor	COG1403
DMAP1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF423IFD/@@download/ENCFF423IFD.bed.gz	Other	No		transcription factor	COG1403
DMTF1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF886PNQ/@@download/ENCFF886PNQ.bed.gz	TF	Yes		transcription factor	COG1595
DNMT1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF350FND/@@download/ENCFF350FND.bed.gz	TF	Yes		"RNA binding protein,transcription factor"	COG0425
DNMT3B	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF469JVY/@@download/ENCFF469JVY.bed.gz	Other	No		transcription factor	COG0270
DPF1	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503109&format=file&file=GSM7503109%5FDPF1%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG0436
DPF2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF599FAQ/@@download/ENCFF599FAQ.bed.gz	Other	No		transcription factor	COG1403
DR1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF043PLX/@@download/ENCFF043PLX.bed.gz	TF	Yes		transcription factor	COG1196
DRAP1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF596EYH/@@download/ENCFF596EYH.bed.gz	TF	Yes		transcription factor	COG1403
DZIP1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF718UWQ/@@download/ENCFF718UWQ.bed.gz	TF	Yes		transcription factor	COG1403
E2F1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF509VPA/@@download/ENCFF509VPA.bed.gz	TF	Yes		transcription factor	COG3170
E2F2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF987IVP/@@download/ENCFF987IVP.bed.gz	TF	Yes		transcription factor	COG3170
E2F4	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF519KUR/@@download/ENCFF519KUR.bed.gz	TF	Yes		transcription factor	COG3170
E2F5	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF732NHA/@@download/ENCFF732NHA.bed.gz	TF	Yes		transcription factor	COG3170
E2F7	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503110&format=file&file=GSM7503110%5FE2F7%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG1414
E2F8	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503111&format=file&file=GSM7503111%5FE2F8%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG2865
E4F1	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503112&format=file&file=GSM7503112%5FE4F1%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG0295
EBF1	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503113&format=file&file=GSM7503113%5FEBF1%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG0823
EEA1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF996HVG/@@download/ENCFF996HVG.bed.gz	TF	Yes		transcription factor	COG1196
EED	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF481KFX/@@download/ENCFF481KFX.bed.gz	Other	No		transcription factor	COG2319
EGR1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF769NZQ/@@download/ENCFF769NZQ.bed.gz	TF	Yes		transcription factor	COG3409
EHMT2		Preferred	https://www.encodeproject.org/files/ENCFF289HHW/@@download/ENCFF289HHW.bed.gz	Other			"transcription factor,chromatin remodeller"	COG0666
ELF1		Non-preferred	https://www.encodeproject.org/files/ENCFF374YEM/@@download/ENCFF374YEM.bed.gz	TF	Yes		transcription factor	COG0488
ELF1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF561HAC/@@download/ENCFF561HAC.bed.gz	TF	Yes		transcription factor	COG0488
ELF3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF358NYG/@@download/ENCFF358NYG.bed.gz	TF	Yes		transcription factor	COG1357
ELF4	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF739XKR/@@download/ENCFF739XKR.bed.gz	TF	Yes		transcription factor	COG5492
ELK1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF079BRO/@@download/ENCFF079BRO.bed.gz	TF	Yes		transcription factor	COG3266
ELK3	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503114&format=file&file=GSM7503114%5FELK3%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG3170
ELK4	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503115&format=file&file=GSM7503115%5FELK4%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG3266
EP300	FLAG	Non-preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503116&format=file&file=GSM7503116%5FEP300%2DFLAG%5FNon%2Dpreferred%5FLocal%2EnarrowPeak%2Egz	Other	No		transcription factor	COG1054
EP300		Preferred	https://www.encodeproject.org/files/ENCFF726NGV/@@download/ENCFF726NGV.bed.gz	Other	No		transcription factor	COG1054
EP300	FLAG	Uncharacterized	https://www.encodeproject.org/files/ENCFF702VBV/@@download/ENCFF702VBV.bed.gz	Other	No		transcription factor	COG1054
EP300		Non-preferred	https://www.encodeproject.org/files/ENCFF307PSW/@@download/ENCFF307PSW.bed.gz	Other	No		transcription factor	COG1054
ERF	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF487FCZ/@@download/ENCFF487FCZ.bed.gz	TF	Yes		transcription factor	COG2124
ESRRA	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF022ALT/@@download/ENCFF022ALT.bed.gz	TF	Yes		transcription factor	COG1573
ETS1		Non-preferred	https://www.encodeproject.org/files/ENCFF802CAB/@@download/ENCFF802CAB.bed.gz	TF	Yes		transcription factor	COG1309
ETS1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF574HYI/@@download/ENCFF574HYI.bed.gz	TF	Yes		transcription factor	COG1309
ETV4		Preferred	https://www.encodeproject.org/files/ENCFF231DZR/@@download/ENCFF231DZR.bed.gz	TF	Yes		transcription factor	COG3662
ETV5	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF072RWQ/@@download/ENCFF072RWQ.bed.gz	TF	Yes		transcription factor	COG4695
ETV6	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF387KML/@@download/ENCFF387KML.bed.gz	TF	Yes		transcription factor	COG0286
EZH2		Preferred	https://www.encodeproject.org/files/ENCFF521AKL/@@download/ENCFF521AKL.bed.gz	Other	No		"transcription factor,chromatin remodeller,RNA binding protein"	COG1403
FAM200B	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503117&format=file&file=GSM7503117%5FFAM200B%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes			COG2826
FIP1L1		Preferred	https://www.encodeproject.org/files/ENCFF761RXC/@@download/ENCFF761RXC.bed.gz	Other		"mRNA processing protein, RNA-binding protein. No clear DNA binding domain."	"RNA binding protein,transcription factor"	COG5511
FOSL1	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503118&format=file&file=GSM7503118%5FFOSL1%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG4372
FOSL2		Non-preferred	https://www.encodeproject.org/files/ENCFF916GIW/@@download/ENCFF916GIW.bed.gz	TF	Yes		transcription factor	COG2138
FOSL2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF200ULH/@@download/ENCFF200ULH.bed.gz	TF	Yes		transcription factor	COG2138
FOXA1		Non-preferred	https://www.encodeproject.org/files/ENCFF055VNJ/@@download/ENCFF055VNJ.bed.gz	TF	Yes		transcription factor	COG0741
FOXA1		Non-preferred	https://www.encodeproject.org/files/ENCFF356THI/@@download/ENCFF356THI.bed.gz	TF	Yes		transcription factor	COG0741
FOXA1	FLAG	Uncharacterized	https://www.encodeproject.org/files/ENCFF235PEX/@@download/ENCFF235PEX.bed.gz	TF	Yes		transcription factor	COG0741
FOXA1		Preferred	https://www.encodeproject.org/files/ENCFF250ISH/@@download/ENCFF250ISH.bed.gz	TF	Yes		transcription factor	COG0741
FOXA2	FLAG	Non-preferred	https://www.encodeproject.org/files/ENCFF296CWC/@@download/ENCFF296CWC.bed.gz	TF	Yes		transcription factor	COG5651
FOXA2		Preferred	https://www.encodeproject.org/files/ENCFF589WTM/@@download/ENCFF589WTM.bed.gz	TF	Yes		transcription factor	COG5651
FOXA3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF966LKN/@@download/ENCFF966LKN.bed.gz	TF	Yes		transcription factor	COG1280
FOXC1	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503119&format=file&file=GSM7503119%5FFOXC1%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG0741
FOXJ3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF091YXG/@@download/ENCFF091YXG.bed.gz	TF	Yes		transcription factor	COG0639
FOXK1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF791TBH/@@download/ENCFF791TBH.bed.gz	TF	Yes		transcription factor	COG3266
FOXK2		Preferred	https://www.encodeproject.org/files/ENCFF008HBF/@@download/ENCFF008HBF.bed.gz	TF	Yes		transcription factor	COG3087
FOXM1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF488UEC/@@download/ENCFF488UEC.bed.gz	TF	Yes		transcription factor	COG3266
FOXO1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF068YNL/@@download/ENCFF068YNL.bed.gz	TF	Yes		transcription factor	COG3209
FOXO4	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503120&format=file&file=GSM7503120%5FFOXO4%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG3515
FOXP1		Non-preferred	https://www.encodeproject.org/files/ENCFF333EZN/@@download/ENCFF333EZN.bed.gz	TF	Yes		transcription factor	COG0582
FOXP1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF786ATC/@@download/ENCFF786ATC.bed.gz	TF	Yes		transcription factor	COG0582
FOXP4	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF334AQD/@@download/ENCFF334AQD.bed.gz	TF	Yes		transcription factor	COG3599
FUBP1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF742ZEJ/@@download/ENCFF742ZEJ.bed.gz	Other	No		"RNA binding protein,transcription factor"	COG4403
FUBP3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF760OHO/@@download/ENCFF760OHO.bed.gz	Other	No		"RNA binding protein,transcription factor"	COG3409
FUS		Preferred	https://www.encodeproject.org/files/ENCFF682NJA/@@download/ENCFF682NJA.bed.gz	Other	No		"RNA binding protein,transcription factor"	COG3409
GABPA		Non-preferred	https://www.encodeproject.org/files/ENCFF528DHC/@@download/ENCFF528DHC.bed.gz	TF	Yes		transcription factor	COG1475
GABPA	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF776HYP/@@download/ENCFF776HYP.bed.gz	TF	Yes		transcription factor	COG1475
GABPB1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF596YTW/@@download/ENCFF596YTW.bed.gz	Other	No		transcription factor	COG0666
GATA2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF997DRI/@@download/ENCFF997DRI.bed.gz	TF	Yes		transcription factor	COG3064
GATA4		Preferred	https://www.encodeproject.org/files/ENCFF139ESP/@@download/ENCFF139ESP.bed.gz	TF	Yes		transcription factor	COG0791
GATAD1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF903ULA/@@download/ENCFF903ULA.bed.gz	Other	No		transcription factor	COG0507
GATAD2A	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF211HPQ/@@download/ENCFF211HPQ.bed.gz	TF	Yes		transcription factor	COG3468
GFI1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF821FDT/@@download/ENCFF821FDT.bed.gz	TF	Yes		transcription factor	COG3209
GLI4	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF707KQF/@@download/ENCFF707KQF.bed.gz	TF	Yes		transcription factor	COG1917
GLMP	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503121&format=file&file=GSM7503121%5FGLMP%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes			COG2814
GLYR1	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503122&format=file&file=GSM7503122%5FGLYR1%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG2084
GMEB1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF665DFU/@@download/ENCFF665DFU.bed.gz	TF	Yes		transcription factor	COG3170
GMEB2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF169LKJ/@@download/ENCFF169LKJ.bed.gz	TF	Yes		transcription factor	COG3266
GPBP1L1	FLAG	Non-preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503123&format=file&file=GSM7503123%5FGPBP1L1%2DFLAG%5FNon%2Dpreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes			COG3023
GPBP1L1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF111TVQ/@@download/ENCFF111TVQ.bed.gz	TF	Yes			COG3023
GPN1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF926PNY/@@download/ENCFF926PNY.bed.gz	Other		"Appears to be involved in RNAP import, assembly, and possibly scaffolding with other proteins. GTPase, but not DNA-binding, it seems."		COG2304
GTF2F1		Preferred	https://www.encodeproject.org/files/ENCFF171VVS/@@download/ENCFF171VVS.bed.gz	Other	No		"RNA binding protein,transcription factor"	COG4372
GTF2F1		Non-preferred	https://www.encodeproject.org/files/ENCFF192JMF/@@download/ENCFF192JMF.bed.gz	Other	No		"RNA binding protein,transcription factor"	COG4372
GTF3A	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF413CKX/@@download/ENCFF413CKX.bed.gz	TF	Yes		transcription factor	COG0675
GZF1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF338SBU/@@download/ENCFF338SBU.bed.gz	TF	Yes		transcription factor	COG0358
H3K27ac		Preferred	https://www.encodeproject.org/files/ENCFF012ADZ/@@download/ENCFF012ADZ.bed.gz	Histone Mark			"histone,narrow histone mark"	
H3K27me3		Preferred	https://www.encodeproject.org/files/ENCFF080RXC/@@download/ENCFF080RXC.bed.gz	Histone Mark			"histone,broad histone mark"	
H3K36me3		Preferred	https://www.encodeproject.org/files/ENCFF829XFT/@@download/ENCFF829XFT.bed.gz	Histone Mark			"histone,broad histone mark"	
H3K4me1		Preferred	https://www.encodeproject.org/files/ENCFF424GUI/@@download/ENCFF424GUI.bed.gz	Histone Mark			"histone,broad histone mark"	
H3K4me2		Preferred	https://www.encodeproject.org/files/ENCFF800GTZ/@@download/ENCFF800GTZ.bed.gz	Histone Mark			"histone,narrow histone mark"	
H3K4me3		Non-preferred	https://www.encodeproject.org/files/ENCFF549DKP/@@download/ENCFF549DKP.bed.gz	Histone Mark			"histone,narrow histone mark"	
H3K4me3		Non-preferred	https://www.encodeproject.org/files/ENCFF040IFA/@@download/ENCFF040IFA.bed.gz	Histone Mark			"histone,narrow histone mark"	
H3K4me3		Preferred	https://www.encodeproject.org/files/ENCFF276NZQ/@@download/ENCFF276NZQ.bed.gz	Histone Mark			"histone,narrow histone mark"	
